sector;seccion;descripm
1;10;Seccion_1
1;11;Seccion_2
1;14;Seccion_3
1;15;Seccion_4
2;20;Seccion_5
2;22;Seccion_6
2;23;Seccion_7
2;24;Seccion_8
2;26;Seccion_9
3;30;Seccion_10
3;31;Seccion_11
3;32;Seccion_12
3;33;Seccion_13
3;34;Seccion_14
3;35;Seccion_15
4;40;Seccion_16
4;41;Seccion_17
4;42;Seccion_18
4;43;Seccion_19
4;44;Seccion_20
4;45;Seccion_21
4;47;Seccion_22
2;21;Seccion_23
