tienda;nombre;region;rol;tarifa_pvp
Sto116;nameSto116;Region_1;Rol_1;Tarifa_1
Sto117;nameSto117;Region_3;Rol_5;Tarifa_4
Sto118;nameSto118;Region_3;Rol_1;Tarifa_2
Sto119;nameSto119;Region_8;Rol_1;Tarifa_2
Sto120;nameSto120;Region_3;Rol_1;Tarifa_2
Sto122;nameSto122;Region_8;Rol_2;Tarifa_3
Sto123;nameSto123;Region_6;Rol_2;Tarifa_2
Sto125;nameSto125;Region_6;Rol_1;Tarifa_2
Sto126;nameSto126;Region_7;Rol_1;Tarifa_2
Sto127;nameSto127;Region_1;Rol_1;Tarifa_1
Sto128;nameSto128;Region_7;Rol_1;Tarifa_4
Sto129;nameSto129;Region_6;Rol_5;Tarifa_2
Sto130;nameSto130;Region_3;Rol_1;Tarifa_3
Sto131;nameSto131;Region_9;Rol_1;Tarifa_2
Sto133;nameSto133;Region_2;Rol_1;Tarifa_2
Sto134;nameSto134;Region_8;Rol_4;Tarifa_2
Sto135;nameSto135;Region_9;Rol_1;Tarifa_2
Sto136;nameSto136;Region_1;Rol_5;Tarifa_2
Sto137;nameSto137;Region_7;Rol_4;Tarifa_2
Sto139;nameSto139;Region_2;Rol_2;Tarifa_3
Sto140;nameSto140;Region_6;Rol_1;Tarifa_2
Sto141;nameSto141;Region_3;Rol_1;Tarifa_3
Sto142;nameSto142;Region_8;Rol_4;Tarifa_2
Sto143;nameSto143;Region_1;Rol_5;Tarifa_2
Sto144;nameSto144;Region_7;Rol_1;Tarifa_2
Sto145;nameSto145;Region_9;Rol_4;Tarifa_1
Sto146;nameSto146;Region_3;Rol_1;Tarifa_3
Sto147;nameSto147;Region_9;Rol_4;Tarifa_3
Sto148;nameSto148;Region_5;Rol_1;Tarifa_1
Sto149;nameSto149;Region_1;Rol_5;Tarifa_2
Sto150;nameSto150;Region_7;Rol_1;Tarifa_3
Sto152;nameSto152;Region_1;Rol_1;Tarifa_1
Sto153;nameSto153;Region_7;Rol_1;Tarifa_1
Sto154;nameSto154;Region_6;Rol_1;Tarifa_3
Sto155;nameSto155;Region_4;Rol_4;Tarifa_1
Sto156;nameSto156;Region_8;Rol_1;Tarifa_2
Sto157;nameSto157;Region_9;Rol_1;Tarifa_2
Sto158;nameSto158;Region_9;Rol_1;Tarifa_2
Sto159;nameSto159;Region_4;Rol_4;Tarifa_2
Sto160;nameSto160;Region_9;Rol_1;Tarifa_2
Sto161;nameSto161;Region_8;Rol_3;Tarifa_4
Sto162;nameSto162;Region_8;Rol_1;Tarifa_2
Sto163;nameSto163;Region_3;Rol_1;Tarifa_2
Sto166;nameSto166;Region_7;Rol_1;Tarifa_3
Sto167;nameSto167;Region_7;Rol_2;Tarifa_4
Sto168;nameSto168;Region_7;Rol_2;Tarifa_4
Sto169;nameSto169;Region_7;Rol_1;Tarifa_3
Sto170;nameSto170;Region_7;Rol_1;Tarifa_3
Sto171;nameSto171;Region_7;Rol_1;Tarifa_4
Sto172;nameSto172;Region_3;Rol_5;Tarifa_4
Sto173;nameSto173;Region_4;Rol_1;Tarifa_2
Sto174;nameSto174;Region_7;Rol_1;Tarifa_2
Sto175;nameSto175;Region_3;Rol_1;Tarifa_3
Sto176;nameSto176;Region_9;Rol_1;Tarifa_2
Sto177;nameSto177;Region_9;Rol_4;Tarifa_3
Sto178;nameSto178;Region_6;Rol_2;Tarifa_4
Sto179;nameSto179;Region_3;Rol_1;Tarifa_2
Sto180;nameSto180;Region_5;Rol_1;Tarifa_1
Sto181;nameSto181;Region_5;Rol_1;Tarifa_1
Sto182;nameSto182;Region_8;Rol_1;Tarifa_3
Sto183;nameSto183;Region_4;Rol_1;Tarifa_2
Sto184;nameSto184;Region_7;Rol_2;Tarifa_2
Sto185;nameSto185;Region_7;Rol_2;Tarifa_1
Sto186;nameSto186;Region_8;Rol_2;Tarifa_3
Sto187;nameSto187;Region_3;Rol_2;Tarifa_4
Sto188;nameSto188;Region_8;Rol_5;Tarifa_3
Sto189;nameSto189;Region_8;Rol_1;Tarifa_3
Sto190;nameSto190;Region_7;Rol_1;Tarifa_2
Sto191;nameSto191;Region_4;Rol_1;Tarifa_2
Sto192;nameSto192;Region_7;Rol_3;Tarifa_4
Sto193;nameSto193;Region_5;Rol_4;Tarifa_1
Sto194;nameSto194;Region_8;Rol_1;Tarifa_2
Sto195;nameSto195;Region_6;Rol_1;Tarifa_2
Sto196;nameSto196;Region_8;Rol_1;Tarifa_2
Sto197;nameSto197;Region_8;Rol_5;Tarifa_3
Sto198;nameSto198;Region_2;Rol_1;Tarifa_2
Sto199;nameSto199;Region_2;Rol_2;Tarifa_2
Sto200;nameSto200;Region_1;Rol_2;Tarifa_1
Sto201;nameSto201;Region_5;Rol_4;Tarifa_1
Sto203;nameSto203;Region_1;Rol_4;Tarifa_1
Sto204;nameSto204;Region_4;Rol_4;Tarifa_2
Sto205;nameSto205;Region_5;Rol_1;Tarifa_1
Sto206;nameSto206;Region_8;Rol_1;Tarifa_3
Sto207;nameSto207;Region_1;Rol_2;Tarifa_1
Sto208;nameSto208;Region_7;Rol_2;Tarifa_2
Sto209;nameSto209;Region_8;Rol_1;Tarifa_2
Sto210;nameSto210;Region_4;Rol_1;Tarifa_2
Sto211;nameSto211;Region_3;Rol_5;Tarifa_3
Sto212;nameSto212;Region_7;Rol_1;Tarifa_1
Sto213;nameSto213;Region_5;Rol_4;Tarifa_1
Sto214;nameSto214;Region_8;Rol_4;Tarifa_3
Sto215;nameSto215;Region_8;Rol_2;Tarifa_4
Sto216;nameSto216;Region_8;Rol_1;Tarifa_2
Sto217;nameSto217;Region_4;Rol_4;Tarifa_2
Sto219;nameSto219;Region_7;Rol_1;Tarifa_3
Sto220;nameSto220;Region_9;Rol_4;Tarifa_2
Sto221;nameSto221;Region_7;Rol_1;Tarifa_2
Sto222;nameSto222;Region_5;Rol_1;Tarifa_1
Sto223;nameSto223;Region_4;Rol_4;Tarifa_2
Sto224;nameSto224;Region_1;Rol_1;Tarifa_1
Sto225;nameSto225;Region_2;Rol_1;Tarifa_3
Sto226;nameSto226;Region_5;Rol_1;Tarifa_1
Sto227;nameSto227;Region_3;Rol_2;Tarifa_3
Sto229;nameSto229;Region_7;Rol_1;Tarifa_4
Sto230;nameSto230;Region_4;Rol_4;Tarifa_2
Sto231;nameSto231;Region_3;Rol_1;Tarifa_2
Sto232;nameSto232;Region_6;Rol_5;Tarifa_3
Sto233;nameSto233;Region_5;Rol_1;Tarifa_1
Sto234;nameSto234;Region_3;Rol_1;Tarifa_2
Sto235;nameSto235;Region_9;Rol_4;Tarifa_2
Sto236;nameSto236;Region_1;Rol_5;Tarifa_2
Sto237;nameSto237;Region_4;Rol_1;Tarifa_2
Sto238;nameSto238;Region_6;Rol_5;Tarifa_3
Sto239;nameSto239;Region_3;Rol_1;Tarifa_2
Sto240;nameSto240;Region_3;Rol_1;Tarifa_1
Sto241;nameSto241;Region_5;Rol_1;Tarifa_2
Sto242;nameSto242;Region_6;Rol_4;Tarifa_2
Sto243;nameSto243;Region_8;Rol_1;Tarifa_2
