sms;atrib;atributo
1326;73;Atributo_7
1327;57;Atributo_6
1328;898;Atributo_10
1330;898;Atributo_10
1331;21;Atributo_110
1331;28;Atributo_1
1331;35;Atributo_22
1331;57;Atributo_6
1332;21;Atributo_110
1332;28;Atributo_1
1332;35;Atributo_22
1332;57;Atributo_6
1333;21;Atributo_110
1333;28;Atributo_1
1333;35;Atributo_22
1334;32;Atributo_37
1335;30;Atributo_2
1335;31;Atributo_3
1335;38;Atributo_4
1337;88;Atributo_13
1338;26;Atributo_35
1338;27;Atributo_36
1338;588;Atributo_62
1339;652;Atributo_8
1340;35;Atributo_22
