sms;atrib;atributo
594;898;Atributo_10
596;664;Atributo_44
597;35;Atributo_22
597;663;Atributo_63
599;652;Atributo_8
599;898;Atributo_10
602;663;Atributo_63
603;628;Atributo_29
603;663;Atributo_63
604;663;Atributo_63
605;663;Atributo_63
607;870;Atributo_26
609;652;Atributo_8
610;35;Atributo_22
610;38;Atributo_4
610;56;Atributo_5
610;64;Atributo_46
610;73;Atributo_7
610;601;Atributo_70
610;663;Atributo_63
611;663;Atributo_63
616;26;Atributo_35
616;27;Atributo_36
617;829;Atributo_64
619;652;Atributo_8
619;898;Atributo_10
621;652;Atributo_8
622;645;Atributo_106
622;664;Atributo_44
622;898;Atributo_10
623;898;Atributo_10
626;652;Atributo_8
626;898;Atributo_10
629;652;Atributo_8
630;470;Atributo_19
630;896;Atributo_15
631;898;Atributo_10
633;36;Atributo_49
633;470;Atributo_19
633;896;Atributo_15
634;470;Atributo_19
635;36;Atributo_49
635;592;Atributo_74
636;24;Atributo_48
636;30;Atributo_2
636;55;Atributo_32
636;64;Atributo_46
637;663;Atributo_63
637;898;Atributo_10
638;660;Atributo_91
639;660;Atributo_91
640;660;Atributo_91
641;898;Atributo_10
642;660;Atributo_91
643;470;Atributo_19
645;772;Atributo_28
646;660;Atributo_91
647;663;Atributo_63
648;72;Atributo_27
651;660;Atributo_91
654;27;Atributo_36
655;652;Atributo_8
656;27;Atributo_36
657;4;Atributo_11
658;30;Atributo_2
658;31;Atributo_3
659;38;Atributo_4
661;24;Atributo_48
661;55;Atributo_32
661;64;Atributo_46
662;470;Atributo_19
663;898;Atributo_10
665;843;Atributo_43
670;470;Atributo_19
671;663;Atributo_63
672;870;Atributo_26
673;652;Atributo_8
673;898;Atributo_10
674;664;Atributo_44
674;898;Atributo_10
675;652;Atributo_8
675;898;Atributo_10
677;28;Atributo_1
677;30;Atributo_2
677;31;Atributo_3
677;33;Atributo_38
677;35;Atributo_22
677;36;Atributo_49
677;37;Atributo_31
677;38;Atributo_4
677;53;Atributo_24
677;55;Atributo_32
677;56;Atributo_5
677;57;Atributo_6
677;64;Atributo_46
677;73;Atributo_7
677;652;Atributo_8
678;652;Atributo_8
681;898;Atributo_10
684;652;Atributo_8
684;898;Atributo_10
685;898;Atributo_10
686;652;Atributo_8
687;652;Atributo_8
687;898;Atributo_10
688;652;Atributo_8
688;898;Atributo_10
